Feature,Total_Gain,Total_Cover,Weight
PAY_0,12124.7412109375,116968.3828125,58.0
PAY_2,1720.2562255859375,30210.439453125,19.0
BILL_AMT1,1316.232666015625,84783.84375,103.0
LIMIT_BAL,834.79248046875,64283.87890625,68.0
PAY_AMT3,617.50732421875,44507.3984375,54.0
PAY_AMT1,613.8171997070312,45382.96484375,67.0
PAY_AMT2,589.6021728515625,49465.546875,54.0
PAY_3,568.957275390625,33376.3828125,23.0
PAY_4,454.4480895996094,28982.7890625,15.0
PAY_AMT4,445.34521484375,27038.40625,42.0
BILL_AMT2,423.882568359375,28204.083984375,48.0
PAY_5,374.59088134765625,23534.546875,25.0
PAY_AMT6,360.9512939453125,15805.1220703125,47.0
PAY_6,297.8476867675781,24883.134765625,19.0
BILL_AMT6,296.23065185546875,38654.6171875,51.0
PAY_AMT5,293.3216857910156,30852.611328125,46.0
EDUCATION,237.9347381591797,33748.82421875,33.0
BILL_AMT4,195.98802185058594,21280.15625,28.0
AGE,194.33506774902344,11920.166015625,33.0
BILL_AMT5,157.75460815429688,7047.8134765625,22.0
BILL_AMT3,139.9171600341797,11632.0439453125,21.0
MARRIAGE,88.83147430419922,24683.0859375,17.0
SEX,60.158809661865234,8774.880859375,11.0
